"latitude","longitude","address","neighborhood"
"39.12318172","-86.61925543","4001 S Eastmont AVE","unknown"
"39.12318585","-86.61960436","4055 S Eastmont AVE","unknown"
"39.12251197","-86.6192986","3998 S Westmont AVE","unknown"
"39.12256815","-86.61961898","6950 W Eller RD","unknown"
"39.1220617","-86.6199924","6995 W Eller RD","unknown"
"39.12193342","-86.61949273","6955 W Eller RD","unknown"
"39.12257688","-86.61836412","6790 W Eller RD","unknown"
"39.12256906","-86.61777906","6780 W Eller RD","unknown"
"39.12264815","-86.6169608","6600 W Eller RD","unknown"
"39.17333081","-86.49218751","732 N Woodbridge DR","unknown"
"39.16336936","-86.46612345","321 S Lori LN","unknown"
"39.12189862","-86.61764953","6655 W Eller RD","unknown"
"39.12197918","-86.61719784","6601 W Eller RD","unknown"
"39.12211652","-86.61584344","6565 W Eller RD","unknown"
"39.12460776","-86.61267928","6140 W State Road 45","unknown"
"39.12452241","-86.61330022","6160 W State Road 45","unknown"
"39.12427945","-86.61364727","6170 W State Road 45","unknown"
"39.12430738","-86.61376341","6172 W State Road 45","unknown"
"39.12320988","-86.61394693","6192 W State Road 45","unknown"
"39.12283546","-86.61437591","6196 W State Road 45","unknown"
"39.12255678","-86.61471614","6202 W Eller RD","unknown"
"39.17338019","-86.49218004","734 N Woodbridge DR","unknown"
"39.1219437","-86.61314818","5979 W Leonard Springs RD","unknown"
"39.12190599","-86.61197117","5909 W Leonard Springs RD","unknown"
"39.12161727","-86.61050682","5901 W Leonard Springs RD","unknown"
"39.12207829","-86.61520924","6205 W Eller RD","unknown"
"39.12176417","-86.61561314","6240 W State Road 45","unknown"
"39.12113843","-86.6156772","6233 W State Road 45","unknown"
"39.12119941","-86.61650509","6260 W State Road 45","unknown"
"39.12091034","-86.61699693","6290 W State Road 45","unknown"
"39.12006578","-86.61726684","6365 W State Road 45","unknown"
"39.12162582","-86.61809192","6759 W Eller RD","unknown"
"39.1734277","-86.4928851","761 N Woodbridge DR","unknown"
"39.12162558","-86.618032","6757 W Eller RD","unknown"
"39.12167768","-86.61801403","6753 W Eller RD","unknown"
"39.11989953","-86.61757458","6363 W State Road 45","unknown"
"39.12010068","-86.61844384","6330 W State Road 45","unknown"
"39.11957241","-86.61816182","6375 W State Road 45","unknown"
"39.12162399","-86.61420771","6349 W State Road 45","unknown"
"39.11872953","-86.61954546","6449 W State Road 45","unknown"
"39.11894983","-86.61901886","4210 S Dunlap RD","unknown"
